ShotNumber,SelectedTargetID,SelectedTargetPosition,CrosshairPosition,CrosshairRotation,LeftEyePosition,RightEyePosition,CombinedEyePosition,LeftEyeOpen,RightEyeOpen,XRPosition,XRRotation,Hit,Accuracy,DominantEyeForShot,LeftEyeDistanceFromRay,RightEyeDistanceFromRay
1,Target 4,"(-4.80, 2.50, 10.88)","(-1.09, 1.12, 1.98)","(357.28, 337.68, 0.99)","(-0.85, 1.10, 1.28)","(-0.79, 1.10, 1.30)","(-0.82, 1.10, 1.29)",True,True,"(-0.83, 1.10, 1.31)","(358.71, 337.62, 6.21)",True,0.238467,Cyclopean,0.05006051,0.01370445
2,Target 2,"(-9.80, 2.50, 5.88)","(-1.43, 1.12, 1.60)","(356.63, 297.72, 1.96)","(-0.86, 1.10, 1.24)","(-0.82, 1.11, 1.30)","(-0.84, 1.10, 1.27)",True,True,"(-0.86, 1.11, 1.29)","(0.88, 303.38, 4.20)",True,0.3133104,Cyclopean,0.05412327,0.009804594
3,Target 8,"(8.20, 2.50, 5.88)","(-0.14, 1.12, 1.69)","(357.24, 64.41, 3.46)","(-0.88, 1.08, 1.33)","(-0.85, 1.09, 1.28)","(-0.86, 1.09, 1.31)",True,True,"(-0.84, 1.09, 1.32)","(358.85, 52.46, 12.55)",True,0.2646199,Cyclopean,0.03065827,0.04606125
4,Target 5,"(-0.80, 2.50, 11.88)","(-0.78, 1.11, 2.03)","(356.31, 0.42, 2.41)","(-0.83, 1.10, 1.29)","(-0.77, 1.09, 1.29)","(-0.80, 1.10, 1.29)",True,True,"(-0.79, 1.10, 1.31)","(1.85, 2.31, 2.58)",True,0.2746339,Cyclopean,0.05262233,0.01167938
5,Target 6,"(3.20, 2.50, 10.88)","(-0.50, 1.11, 1.99)","(356.18, 21.74, 1.40)","(-0.84, 1.10, 1.30)","(-0.78, 1.10, 1.28)","(-0.81, 1.10, 1.29)",True,True,"(-0.80, 1.10, 1.31)","(1.67, 18.91, 3.74)",True,0.2461021,Cyclopean,0.05140597,0.01237539
